miRNA,FC_MT_vs_Con,MT_mean,Con_mean,KeyPathways_Total,항염증·면역조절_Npath,항염증·면역조절_예시KEGG,항산화·미토콘드리아/대사 항상성_Npath,항산화·미토콘드리아/대사 항상성_예시KEGG,혈관신생·내피기능/혈류반응_Npath,혈관신생·내피기능/혈류반응_예시KEGG,신장 섬유화·ECM/EMT 억제_Npath,신장 섬유화·ECM/EMT 억제_예시KEGG,심혈관 합병증/죽상동맥경화·심근보호_Npath,심혈관 합병증/죽상동맥경화·심근보호_예시KEGG,세포사멸·노화/손상 반응_Npath,세포사멸·노화/손상 반응_예시KEGG
hsa-miR-6749-5p,60.2913864247968,7.08234,1.16846,0,0,,0,,0,,0,,0,,0,
hsa-miR-6765-5p,57.8762683476497,7.78258,1.92768,45,8,Adipocytokine signaling pathway; Complement and coagulation cascades; IL-17 signaling pathway; JAK-STAT signaling pathway; NF-kappa B signaling pathway; NOD-like receptor signaling pathway,7,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; Thermogenesis,9,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,7,Adherens junction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,10,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,4,Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-6743-5p,57.7448347999412,7.7793,1.92768,42,6,B cell receptor signaling pathway; Chemokine signaling pathway; JAK-STAT signaling pathway; Leukocyte transendothelial migration; Natural killer cell mediated cytotoxicity; T cell receptor signaling pathway,5,Autophagy - animal; FoxO signaling pathway; Glutathione metabolism; Thermogenesis; mTOR signaling pathway,12,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,6,Adherens junction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway; Wnt signaling pathway,9,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cholesterol metabolism; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Apoptosis; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-6805-5p,49.6021242027998,7.92429,2.29196,19,8,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; NF-kappa B signaling pathway; Natural killer cell mediated cytotoxicity,4,Autophagy - animal; Autophagy - other; Mitophagy - animal; PPAR signaling pathway,2,Endocytosis; Focal adhesion,1,Focal adhesion,1,Platelet activation,3,Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-6850-5p,41.8092425071735,9.59374,4.20799,0,0,,0,,0,,0,,0,,0,
hsa-miR-6798-5p,39.9435319066256,6.47956,1.15967,45,13,B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,6,AMPK signaling pathway; Autophagy - animal; Autophagy - other; FoxO signaling pathway; Mitophagy - animal; Thermogenesis,9,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton,5,Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,8,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Platelet activation,4,Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-6816-5p,37.977683396555,8.81125,3.56417,14,2,Adipocytokine signaling pathway; Th17 cell differentiation,5,AMPK signaling pathway; Autophagy - animal; Autophagy - other; PPAR signaling pathway; Thermogenesis,1,Endocytosis,3,Cell adhesion molecules; MAPK signaling pathway; TGF-beta signaling pathway,2,Aldosterone synthesis and secretion; Cardiac muscle contraction,1,p53 signaling pathway
hsa-miR-7108-5p,36.0695620204761,9.97679,4.80408,18,2,JAK-STAT signaling pathway; Leukocyte transendothelial migration,2,AMPK signaling pathway; Peroxisome,5,Adherens junction; Apelin signaling pathway; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway,6,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; TGF-beta signaling pathway; Wnt signaling pathway,3,Fluid shear stress and atherosclerosis; Platelet activation; Renin-angiotensin system,0,
hsa-miR-4689,35.7244525951611,6.64004,1.4812,53,17,Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,5,Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; PPAR signaling pathway; mTOR signaling pathway,11,Adherens junction; Apelin signaling pathway; Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,7,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone-regulated sodium reabsorption; Platelet activation; Renin secretion; Renin-angiotensin system,5,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-6794-5p,35.4047248661328,6.83848,1.69261,42,12,Adipocytokine signaling pathway; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction,5,AMPK signaling pathway; Mitophagy - animal; Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,7,Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton,7,Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,8,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy; Platelet activation,3,Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-4739,33.1156208282775,7.26277,2.21333,62,18,Adipocytokine signaling pathway; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,10,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal,10,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway,9,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway,9,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Cholesterol metabolism; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,6,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-6752-5p,32.8176493356083,8.64633,3.60993,40,8,Antigen processing and presentation; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; TNF signaling pathway; Th1 and Th2 cell differentiation,5,AMPK signaling pathway; Ferroptosis; FoxO signaling pathway; Mitophagy - animal; mTOR signaling pathway,7,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,7,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,6,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-937-5p,32.6465808982606,6.95654,1.92768,48,12,Antigen processing and presentation; B cell receptor signaling pathway; IL-17 signaling pathway; Inflammatory bowel disease; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,6,AMPK signaling pathway; Ferroptosis; Mitophagy - animal; Oxidative phosphorylation; Thermogenesis; mTOR signaling pathway,10,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,7,AGE-RAGE signaling pathway in diabetic complications; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,5,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-6771-5p,28.5729878442581,6.31778,1.4812,47,13,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,4,Autophagy - animal; Oxidative phosphorylation; Thermogenesis; mTOR signaling pathway,11,Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series; HIF-1 signaling pathway,3,Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,10,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,6,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Necroptosis; p53 signaling pathway
hsa-miR-663a,27.6577137533301,8.39954,3.60993,56,14,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Inflammatory bowel disease,6,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; Mitophagy - animal; Thermogenesis; mTOR signaling pathway,15,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series,8,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,9,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone-regulated sodium reabsorption; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Apoptosis; Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-4492,24.6242862045278,6.4487,1.82669,44,8,Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Leukocyte transendothelial migration,7,Ferroptosis; FoxO signaling pathway; Glutathione metabolism; Oxidative phosphorylation; PPAR signaling pathway; Peroxisome,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,9,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,4,Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-miR-4632-5p,24.322506416526,6.04382,1.4396,26,4,Complement and coagulation cascades; IL-17 signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,4,Autophagy - animal; FoxO signaling pathway; Oxidative phosphorylation; Peroxisome,6,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; HIF-1 signaling pathway; Tight junction; cGMP-PKG signaling pathway,4,Adherens junction; Cell adhesion molecules; PI3K-Akt signaling pathway; TGF-beta signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Fluid shear stress and atherosclerosis,2,Apoptosis; Cell cycle
hsa-miR-4690-5p,21.8119976496544,5.92825,1.4812,5,1,NOD-like receptor signaling pathway,3,Fatty acid degradation; Oxidative phosphorylation; Thermogenesis,0,,0,,1,Cardiac muscle contraction,0,
hsa-miR-4707-5p,21.758089814503,9.21356,4.77008,25,8,B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; Leukocyte transendothelial migration; Natural killer cell mediated cytotoxicity; T cell receptor signaling pathway,3,Autophagy - animal; Oxidative phosphorylation; Thermogenesis,5,Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; VEGF signaling pathway; cGMP-PKG signaling pathway,4,Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; Wnt signaling pathway,4,Aldosterone synthesis and secretion; Cardiac muscle contraction; Platelet activation; Renin secretion,1,Cellular senescence
hsa-miR-939-5p,21.6298236828946,6.23769,1.80274,57,12,B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; Inflammatory bowel disease; JAK-STAT signaling pathway,6,Autophagy - animal; Ferroptosis; FoxO signaling pathway; Oxidative phosphorylation; Thermogenesis; mTOR signaling pathway,15,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - ganglio series,9,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species,11,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Cholesterol metabolism; Dilated cardiomyopathy,4,Cell cycle; Cellular senescence; Ferroptosis; p53 signaling pathway
hsa-mir-6800,18.2015574819403,7.66412,3.47813,0,0,,0,,0,,0,,0,,0,
hsa-miR-1233-5p,18.1295347849576,5.5296,1.34933,52,10,Adipocytokine signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,8,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; Ferroptosis; FoxO signaling pathway; Mitophagy - animal,11,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway,9,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,8,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Cholesterol metabolism; Fluid shear stress and atherosclerosis,6,Apoptosis; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-3141,17.5492807698232,5.61454,1.4812,14,3,Adipocytokine signaling pathway; Antigen processing and presentation; Leukocyte transendothelial migration,4,AMPK signaling pathway; Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,4,Focal adhesion; Rap1 signaling pathway; Tight junction; cGMP-PKG signaling pathway,2,Focal adhesion; PI3K-Akt signaling pathway,1,Platelet activation,0,
hsa-miR-3162-5p,16.8818370633799,5.33621,1.25881,36,12,Adipocytokine signaling pathway; B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway,1,Fatty acid degradation,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton,6,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,6,Adrenergic signaling in cardiomyocytes; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy; Platelet activation; Vascular smooth muscle contraction,2,Apoptosis; Cellular senescence
hsa-mir-6800,14.1623620669191,7.51347,3.68948,0,0,,0,,0,,0,,0,,0,
hsa-miR-3940-5p,13.543042710603,10.04428,6.2848,8,3,Antigen processing and presentation; Complement and coagulation cascades; NOD-like receptor signaling pathway,0,,1,Endocytosis,0,,0,,4,Apoptosis; Apoptosis - multiple species; Cellular senescence; Necroptosis
hsa-miR-6791-5p,12.7208220594135,9.79472,6.1256,47,15,Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway; Leukocyte transendothelial migration,7,Autophagy - animal; Autophagy - other; FoxO signaling pathway; Glutathione metabolism; Mitophagy - animal; Oxidative phosphorylation,8,Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid metabolism,7,Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,9,Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy,1,Necroptosis
hsa-miR-6800-5p,12.4998597270783,10.20968,6.56584,20,2,Complement and coagulation cascades; TNF signaling pathway,1,FoxO signaling pathway,4,Adherens junction; Fluid shear stress and atherosclerosis; HIF-1 signaling pathway; Regulation of actin cytoskeleton,5,Adherens junction; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway; Wnt signaling pathway,5,AGE-RAGE signaling pathway in diabetic complications; Fluid shear stress and atherosclerosis; Hypertrophic cardiomyopathy; Renin secretion; Vascular smooth muscle contraction,3,Cell cycle; Cellular senescence; p53 signaling pathway
hsa-miR-1268b,11.8646694297881,5.28659,1.71799,39,11,B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity,3,Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,10,Adherens junction; Apelin signaling pathway; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton,7,Adherens junction; Cell adhesion molecules; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Platelet activation; Vascular smooth muscle contraction,2,Apoptosis; Cellular senescence
hsa-miR-4484,11.3523573237913,13.28075,9.77583,26,1,NOD-like receptor signaling pathway,6,Autophagy - animal; Autophagy - other; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; Thermogenesis,5,Adherens junction; Focal adhesion; Rap1 signaling pathway; Sphingolipid metabolism; Sphingolipid signaling pathway,9,Adherens junction; Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species,5,Adrenergic signaling in cardiomyocytes; Cardiac muscle contraction; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation,0,
hsa-miR-6779-5p,11.2802723862868,5.78476,2.28903,68,15,Adipocytokine signaling pathway; Chemokine signaling pathway; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; IL-17 signaling pathway; JAK-STAT signaling pathway,12,AMPK signaling pathway; Autophagy - animal; Fatty acid degradation; Ferroptosis; FoxO signaling pathway; Glutathione metabolism,14,Adherens junction; Apelin signaling pathway; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Glycosphingolipid biosynthesis - globo and isoglobo series,9,Adherens junction; ECM-receptor interaction; Focal adhesion; Hippo signaling pathway; Hippo signaling pathway - multiple species; MAPK signaling pathway,11,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Cardiac muscle contraction; Dilated cardiomyopathy,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-6821-5p,11.2239610309571,9.0733,5.58479,30,6,IL-17 signaling pathway; Leukocyte transendothelial migration; NF-kappa B signaling pathway; NOD-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; TNF signaling pathway,1,mTOR signaling pathway,8,Endocytosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,5,Cell adhesion molecules; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; Wnt signaling pathway,6,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Aldosterone-regulated sodium reabsorption; Platelet activation; Vascular smooth muscle contraction,4,Apoptosis; Apoptosis - multiple species; Cellular senescence; Necroptosis
