smiles,MW,LogP,TPSA,CAGA_IC50_uM,CAGA_pass,NF-kB_IC50_uM,NF-kB_pass,pSMAD_inhibition,pSMAD_pass,pIkBa_inhibition,pIkBa_pass,fibrosis_genes_avg_reduction,inflammation_genes_avg_reduction,qPCR_pass,CC50_uM,SI,cytotox_pass,solubility_uM,solubility_pass,Gate1_GO
COc1ccc(C(=O)Nc2cccc(Cl)c2)cc1,261.708,3.600900000000002,38.33,0.48971874260352766,True,0.1990054291290751,True,72.64543113483685,True,65.54535698671657,True,74.39923449922658,70.9727588858576,True,14.913320624483777,29.826641248967555,True,23.51114593771841,False,False
Clc1ccc(CNc2ncnc3ccccc23)c(Cl)c1,304.18,4.548700000000001,37.81,0.9004983167534939,True,1.0100496074310061,False,41.433251230549956,False,65.84932770283594,True,40.18929695502318,38.87254216109491,False,16.040595401961678,32.081190803923356,True,5.542105261505417,False,False
O=C(Nc1ncnc2ccc(Cl)cc12)c1ccc(Cl)cc1,318.163,4.188900000000002,54.88,0.5536073799264916,True,0.46289402724667456,True,54.506940605783875,True,59.51998776397006,True,41.2855793797898,42.21234091954389,False,39.36388288776516,78.72776577553032,True,16.10634944213544,False,False
COc1ccc(C(=O)Nc2ccccc2)c(Cl)c1,261.708,3.600900000000002,38.33,0.27524677073059933,True,0.24685735730392439,True,35.78679309394712,False,65.19686025440068,True,68.75497888217522,76.09244902007276,True,49.682645065219475,99.36529013043895,True,30.324851880868106,True,False
Clc1ccc(CNc2ncnc3cc(Cl)ccc23)cc1,304.18,4.548700000000001,37.81,0.889874421212076,True,1.0492145448437808,False,36.44612368609415,False,33.73994572065298,False,42.04730250776097,37.527341782787396,False,8.513233681766335,17.02646736353267,False,15.509374760248832,False,False
COc1ccc(C(=O)Nc2cccnc2)cc1Cl,262.696,2.9959000000000007,51.22,0.5882015174658849,True,0.343562097625432,True,53.20665098708655,True,57.59773576320001,True,59.365368127435346,67.06939426981126,True,29.140436629902027,58.28087325980405,True,60.29201545535416,True,True
COc1ccc(C(=O)Nc2ncnc3ccccc23)cc1,279.29900000000004,2.8907000000000007,64.11,0.10937660568454359,True,0.6725276151573472,True,73.91669701013677,True,77.50426679006107,True,70.88708891014781,72.32665430638447,True,11.597551498771155,23.19510299754231,True,24.5115189542417,False,False
O=C(Nc1cc(Cl)cc2ccccc12)c1ccc(Cl)cc1,316.187,5.398900000000003,29.1,0.72983703782889,True,1.9718789668642933,False,41.18507323895169,False,43.17062855132677,False,40.893634000194325,42.9299193356973,True,5.730683562002657,11.461367124005314,False,15.391711646429128,False,False
O=C(Nc1cccc2ccccc12)c1ccc(Cl)cc1Cl,316.187,5.398900000000002,29.1,1.219172285224914,False,0.32294217306321227,True,38.28607324203599,False,57.88005745544599,True,47.3292418408742,40.967372564418625,False,6.809480722399278,13.618961444798556,False,8.148952586476225,False,False
Fc1cc(Cl)ccc1CNc1ncnc2ccccc12,287.725,4.0344000000000015,37.81,0.2807400676335786,True,1.8055146211929367,False,33.300479416822995,False,62.4860309713033,True,34.82247151187679,47.47322548874101,True,7.751627837923352,15.503255675846704,False,10.674582039425935,False,False
Fc1ccc(CNc2ncnc3cccc(F)c23)cc1,271.27000000000004,3.520100000000002,37.81,0.7109361151547675,True,0.30536601461286184,True,58.82964969174893,True,64.29457561418144,True,83.02627623366317,72.6184067776744,True,22.19002420204705,44.3800484040941,True,59.18219288859206,True,True
Clc1ccc(CNc2cccc3ccc(Cl)cc23)cc1,302.20400000000006,5.758700000000002,12.03,0.8196195089541345,True,0.5919816604493356,True,50.6793682194208,True,13.525881500128463,False,41.36474261109205,45.431061916741776,True,7.659304452024431,15.318608904048862,False,5.617652285188469,False,False
O=C(Nc1ncnc2ccc(Cl)cc12)c1cccnc1,284.706,2.930500000000001,67.77000000000001,0.4983653152016171,True,0.11185520791855093,True,51.131368336057236,True,72.20240298826151,True,72.41873611431598,57.555042662428946,True,16.37322546115981,32.74645092231962,True,46.42686239023237,True,True
Fc1ccc(CNc2ncnc3ccccc23)cc1Cl,287.725,4.0344000000000015,37.81,1.930097759851576,False,0.9417500737963744,True,52.05072162858508,True,41.674227212788445,False,42.05261521426879,37.0727640666863,False,34.32797292043091,68.65594584086182,True,1.0,False,False
O=C(Nc1ncnc2ccccc12)c1ccccc1Cl,283.718,3.5355000000000016,54.88,0.6190427018031905,True,0.41309244002925805,True,73.19061108451406,True,62.08619043538754,True,78.87293047927741,64.15121646497452,True,14.583041734585802,29.166083469171603,True,11.938233968662782,False,False
O=C(Nc1ncnc2cccc(F)c12)c1ccccc1,267.263,3.021200000000001,54.88,0.4403065614964133,True,0.07414093714282544,True,37.782518006945416,False,71.33297862979099,True,75.61720945543229,75.042916933337,True,50.64619172552791,101.29238345105583,True,15.059100012509596,False,False
O=C(Nc1ncnc2ccccc12)c1cccc(Cl)c1,283.718,3.5355000000000016,54.88,0.10374668396303453,True,0.19264084014223926,True,58.98894639732428,True,59.72683136529363,True,60.55754987142097,72.0641303090049,True,13.348242862711912,26.696485725423823,True,65.89736679200529,True,True
O=C(Nc1ncnc2ccc(F)cc12)c1cccnc1,268.251,2.4162,67.77000000000001,0.036857207705971895,True,0.5807782266627066,True,52.09940824515349,True,55.00102248513845,True,42.2221171577825,41.57827431999209,True,28.093716490461425,56.18743298092285,True,115.74174284322072,True,True
COc1ccc(C(=O)Nc2ncnc3ccccc23)c(F)c1,297.28900000000004,3.0298000000000007,64.11,0.44242874440706936,True,0.21833864363310737,True,73.0836290922121,True,75.01568179778144,True,66.07297268662354,58.912928401151525,True,7.255745651506976,14.511491303013951,False,13.736867804448421,False,False
Fc1ccc(CNc2ncnc3ccc(Cl)cc23)cc1,287.7250000000001,4.034400000000002,37.81,0.7259598520251545,True,2.5964433531579374,False,38.65110834210141,False,37.78665523428139,False,37.797281793822584,40.31544827869196,True,21.913847487743002,43.827694975486004,True,10.98579134145772,False,False
Fc1ccc(CNc2ncnc3ccccc23)c(F)c1,271.27000000000004,3.520100000000002,37.81,0.299665144280815,True,1.1930371926327221,False,51.4980152336852,True,66.41896382792373,True,73.80271433728507,65.66309836526109,True,9.136919431265648,18.273838862531296,False,85.31417088859135,True,False
O=C(Nc1ncnc2cccc(Cl)c12)c1cccnc1,284.706,2.930500000000001,67.77000000000001,0.32805519541861355,True,0.44422023411680367,True,69.76550349153996,True,60.91548460544865,True,71.14244091735833,74.68350905039432,True,4.532111106530099,9.064222213060198,False,38.604496334509626,True,False
O=C(Nc1ncnc2ccccc12)c1ccncc1F,268.25100000000003,2.416200000000001,67.77000000000001,0.15892642123329542,True,0.41907433765163243,True,33.19893992293138,False,45.33024310497101,False,44.964675741644754,51.57662644501539,True,21.785706529412366,43.57141305882473,True,89.87481639749346,True,False
Clc1cccc(CNc2ncnc3ccccc23)c1,269.735,3.8953000000000015,37.81,0.8441594261434519,True,1.2732866492017914,False,71.24533698508638,True,46.76158367125922,False,68.50277924174418,71.35275731823828,True,4.823613045701702,9.647226091403404,False,37.558584107487825,True,False
O=C(Nc1ncnc2ccccc12)c1cncc(F)c1,268.251,2.4162,67.77000000000001,0.10737922813792346,True,0.9811647358251391,True,33.06724593639867,False,27.17775379846914,False,36.33645439171416,42.66346928801939,False,6.46444873798425,12.9288974759685,False,35.20443901851584,True,False
O=C(Nc1ncnc2ccccc12)c1ccc(F)c(F)c1,285.253,3.160300000000001,54.88,0.5799876265654725,True,0.18124233122553576,True,77.79141162295336,True,61.40405890741465,True,67.12972523552352,68.2323083289852,True,33.31318868609592,66.62637737219184,True,20.715052589438997,False,False
Fc1ccc(CNc2ncnc3cc(Cl)ccc23)cc1,287.7250000000001,4.0344000000000015,37.81,1.0181129700313782,False,0.19165089725455303,True,62.55958374398336,True,51.07331012880994,True,42.23994760552151,44.027512840076234,True,6.742337816203317,13.484675632406635,False,6.6720180897273575,False,False
Clc1ccc(CNc2ncnc3ccccc23)cc1,269.735,3.8953000000000015,37.81,0.5967365280908581,True,0.26962056774547993,True,74.74513659839539,True,77.43437185982673,True,72.55792205522692,72.44124638241327,True,17.404637793472926,34.80927558694585,True,35.10875880157665,True,True
O=C(Nc1ncnc2ccccc12)c1ccc(F)cc1,267.263,3.021200000000001,54.88,0.21631455517286477,True,0.12019785881921016,True,49.980991354709616,False,63.24963549793039,True,67.1711438466616,79.86037842580932,True,2.727553119435079,5.455106238870158,False,6.751795540682996,False,False
O=C(Nc1ccncc1)Nc1ncnc2cccc(Cl)c12,299.72100000000006,3.3222000000000014,79.8,0.17121933785546692,True,0.4029135560257716,True,62.5875979248868,True,64.53723518588524,True,62.1776875932059,54.23033244513849,True,11.018763071304939,22.037526142609877,True,27.692768751788428,False,False
O=C(Nc1ncnc2cccc(Cl)c12)c1ccccc1,283.718,3.5355000000000016,54.88,0.7087567916617058,True,0.30156576068863017,True,71.02128280388183,True,62.382533783453205,True,64.44668884476576,71.50698989559511,True,19.380535736374583,38.761071472749165,True,13.73317191133389,False,False
O=C(Nc1ncnc2c(F)cccc12)c1ccccc1,267.26300000000003,3.021200000000001,54.88,0.17142346595583347,True,0.6109767299812303,True,59.7161738746605,True,61.0927821013997,True,68.9121350059127,61.76930802533846,True,41.20037338085786,82.40074676171572,True,137.0796221619494,True,True
O=C(Nc1ccccc1)Nc1ncnc2cc(Cl)ccc12,298.733,3.927200000000002,66.91,0.3132069007159072,True,0.11487391846249212,True,86.66873091495322,True,56.1676106120765,True,69.37206789670527,64.45171671654587,True,70.61863928227055,141.2372785645411,True,8.505601405975497,False,False
Clc1ccc(CNc2cccc3c(Cl)cccc23)cc1,302.20400000000006,5.758700000000002,12.03,0.313924698728516,True,1.6704924948035282,False,38.34569135755244,False,64.80893981828524,True,43.44493047555056,38.46036061830757,True,5.8742381082009825,11.748476216401965,False,32.61715358863104,True,False
O=C(Nc1ncnc2c(Cl)cccc12)c1cccnc1,284.706,2.930500000000001,67.77000000000001,0.49506007374576616,True,0.35130258459708663,True,62.02731013009548,True,73.9835239417793,True,77.25951363609119,64.4892732618866,True,10.970817220696725,21.94163444139345,True,50.7747756665705,True,True
Fc1ccc2ncnc(NCc3ccc(Cl)cc3)c2c1,287.725,4.034400000000002,37.81,2.078958075596989,False,0.6155959258827762,True,33.92402666203727,False,42.17200685060743,False,42.480427196795084,39.553627897973314,True,36.95946322252041,73.91892644504082,True,16.201830250279578,False,False
Clc1ccc2ccccc2c1NCc1ccncc1,268.74699999999996,4.500300000000003,24.92,0.20589177293209435,True,3.862237027908048,False,43.00456838505848,False,39.442012300165466,False,39.05013326657589,32.237033276226725,False,3.2104060676194353,6.4208121352388705,False,12.4508343407525,False,False
O=C(Nc1ncnc2ccccc12)c1cccc(F)c1,267.263,3.021200000000001,54.88,0.03716681617965951,True,0.29938419341921585,True,61.130506791643384,True,72.20943278313734,True,55.768316289295264,67.6563635990037,True,54.49790798627076,108.99581597254152,True,19.36245873848229,False,False
Fc1cccc2c(NCc3ccncc3)ncnc12,254.26800000000003,2.776,50.7,0.27625644280416567,True,0.17777631656027007,True,34.88060890920203,False,75.65528668307651,True,77.12800698712095,73.71833287532463,True,10.548039135888253,21.096078271776506,True,34.49013648080428,True,False
